=====	File Info																																																																																																																																					
Serial #	Session	Filename	Start Time	TZBIAS	Location	Summary	Comments																																																																																																																															
5436	146	C:\Users\Public\Documents\Peach Innovations\PowerLine\data\row005436-000146D.peach-data	"Sat, 13 Apr 2024 07:59:04"	3600																																																																																																																																		
=====	GPS Info																																																																																																																																					
Lat	Lon	UTC	PeachTime																																																																																																																																			
42.29419029	-8.100638032	13 Apr 2024 07:59:05 (UTC)	1040																																																																																																																																			
=====	Crew Info																																																																																																																																					
Position	Name	Abbr	ID	First Name	Last Name	Abbreviation	Squad	Email	Birthdate	Height	Weight																																																																																																																											
1																																																																																																																																						
2																																																																																																																																						
3																																																																																																																																						
4																																																																																																																																						
5																																																																																																																																						
6																																																																																																																																						
7																																																																																																																																						
8																																																																																																																																						
Cox																																																																																																																																						
Coach																																																																																																																																						
=====	Rig Info																																																																																																																																					
Position																																																																																																																																						
Side																																																																																																																																						
1	Port																																																																																																																																					
2	Stbd																																																																																																																																					
3	Port																																																																																																																																					
4	Stbd																																																																																																																																					
5	Port																																																																																																																																					
6	Stbd																																																																																																																																					
7	Port																																																																																																																																					
8	Stbd																																																																																																																																					
=====	Venue Info																																																																																																																																					
VenueName	Altitude	Latitude	Longitude																																																																																																																																			
																																																																																																																																						
=====	Misc Info																																																																																																																																					
SessionComments	SessionName																																																																																																																																					
																																																																																																																																						
=====	Boat Info																																																																																																																																					
Boat Name	Seats	Coxed	Rig	Manufacturer	Description																																																																																																																																	
	8	yes	sweep																																																																																																																																			
=====	Parameter Info																																																																																																																																					
Parameter	Value	Units																																																																																																																																				
Impeller Scaling	100	%																																																																																																																																				
Average Rating over	2	strokes																																																																																																																																				
Sweep Drive Start	30	kg																																																																																																																																				
Sweep Recovery	15	kg																																																																																																																																				
Sweep Oar Inboard	115	cm																																																																																																																																				
Sweep Oar Length	376	cm																																																																																																																																				
Scull Drive Start	20	kg																																																																																																																																				
Scull Recovery	10	kg																																																																																																																																				
Scull Oar Inboard	88	cm																																																																																																																																				
Scull Oar Length	288	cm																																																																																																																																				
=====	Sensor Info																																																																																																																																					
Channel	S/N	Version	Cal Date	Strokes																																																																																																																																		
GateForceX[8]	3596	1.0.0.0 2:5	Feb-13	634880																																																																																																																																		
GateAngle[8]	3596	1.0.0.0 2:5	Feb-13	634880																																																																																																																																		
GateForceX[7]	3594	1.0.0.0 2:5	Feb-13	534016																																																																																																																																		
GateAngle[7]	3594	1.0.0.0 2:5	Feb-13	534016																																																																																																																																		
GateForceX[6]	3591	1.0.0.0 2:5		641024																																																																																																																																		
GateAngle[6]	3591	1.0.0.0 2:5		641024																																																																																																																																		
